"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Geneid"
"1","reordered_RM_Type_I_7","RM","RM_Type_I","Defense","WP_010791769.1","WP_003120661.1","WP_010791769.1",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52","PAKAF_RS11775"
"2","reordered_RM_Type_I_7","RM","RM_Type_I","Defense","WP_010791769.1","WP_003120661.1","WP_016253321.1",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52","PAKAF_RS11780"
"3","reordered_RM_Type_I_7","RM","RM_Type_I","Defense","WP_010791769.1","WP_003120661.1","WP_003120661.1",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52","PAKAF_RS11785"
"4","reordered_Septu_2","Septu","Septu","Defense","WP_003120662.1","WP_010791768.1","WP_003120662.1",2,"Septu__PtuA,Septu__PtuB","PAKAF_RS11790"
"5","reordered_Septu_2","Septu","Septu","Defense","WP_003120662.1","WP_010791768.1","WP_010791768.1",2,"Septu__PtuA,Septu__PtuB","PAKAF_RS11795"
"6","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","WP_016253783.1","WP_031758998.1","WP_016253783.1",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_03","PAKAF_RS21770"
"7","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","WP_016253783.1","WP_031758998.1","WP_016253784.1",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_03","PAKAF_RS21775"
"8","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","WP_016253783.1","WP_031758998.1","WP_031758998.1",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_03","PAKAF_RS21785"
"9","reordered_Druantia_III_1","Druantia","Druantia_III","Defense","WP_228380305.1","WP_016253794.1","WP_228380305.1",2,"Druantia_III__DruH,Druantia__DruE_3","PAKAF_RS21825"
"10","reordered_Druantia_III_1","Druantia","Druantia_III","Defense","WP_228380305.1","WP_016253794.1","WP_016253794.1",2,"Druantia_III__DruH,Druantia__DruE_3","PAKAF_RS21830"
"11","reordered_Wadjet_I_4","Wadjet","Wadjet_I","Defense","WP_228380306.1","WP_071557626.1","WP_228380306.1",4,"Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I","PAKAF_RS21840"
"12","reordered_Wadjet_I_4","Wadjet","Wadjet_I","Defense","WP_228380306.1","WP_071557626.1","WP_016253797.1",4,"Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I","PAKAF_RS21845"
"13","reordered_Wadjet_I_4","Wadjet","Wadjet_I","Defense","WP_228380306.1","WP_071557626.1","WP_016253798.1",4,"Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I","PAKAF_RS21850"
"14","reordered_Wadjet_I_4","Wadjet","Wadjet_I","Defense","WP_228380306.1","WP_071557626.1","WP_071557626.1",4,"Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I","PAKAF_RS21855"
