Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,phage,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,phase_of_infection
SRR6502000,RNA-Seq,50,430663850,PRJNA430510,SAMN08375157,304247863,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590829,GSM2939974,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939974,Cell Lysate,SRP131105,0min,
SRR6502001,RNA-Seq,50,385817600,PRJNA430510,SAMN08375156,271725448,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590830,GSM2939975,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:50:00Z,1,GSM2939975,Cell Lysate,SRP131105,0min,
SRR6502002,RNA-Seq,50,340961650,PRJNA430510,SAMN08375155,239028296,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590831,GSM2939976,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:50:00Z,1,GSM2939976,Cell Lysate,SRP131105,0min,
SRR6502003,RNA-Seq,50,398442450,PRJNA430510,SAMN08375154,278389115,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX3590832,GSM2939977,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939977,Cell Lysate,SRP131105,0min,
SRR6502032,RNA-Seq,50,390613800,PRJNA430510,SAMN08375146,275465309,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590841,GSM2939985,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by YuA,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939985,Cell Lysate,SRP131105,5min,Early
SRR6502033,RNA-Seq,75,967303573,PRJNA430510,SAMN08375145,418425682,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590842,GSM2939986,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by YuA,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:54:00Z,1,GSM2939986,Cell Lysate,SRP131105,5min,Early
SRR6502034,RNA-Seq,75,335760483,PRJNA430510,SAMN08375144,146102286,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX3590843,GSM2939987,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by YuA,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:53:00Z,1,GSM2939987,Cell Lysate,SRP131105,5min,Early
SRR6502035,RNA-Seq,75,333609387,PRJNA430510,SAMN08375144,145951637,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX3590843,GSM2939987,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by YuA,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:52:00Z,1,GSM2939987,Cell Lysate,SRP131105,5min,Early
SRR6502036,RNA-Seq,75,346902090,PRJNA430510,SAMN08375144,151874724,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX3590843,GSM2939987,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by YuA,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:52:00Z,1,GSM2939987,Cell Lysate,SRP131105,5min,Early
SRR6502037,RNA-Seq,75,338887588,PRJNA430510,SAMN08375144,146118459,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX3590843,GSM2939987,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by YuA,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:52:00Z,1,GSM2939987,Cell Lysate,SRP131105,5min,Early
