sys_id,type,subtype,activity,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,Geneid
ordered_protein_RM_Type_III_12,RM,RM_Type_III,Defense,NP_459352.1,NP_459353.3,NP_459352.1,2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_0.einsi_trimmed",STM0357
ordered_protein_RM_Type_III_12,RM,RM_Type_III,Defense,NP_459352.1,NP_459353.3,NP_459353.3,2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_0.einsi_trimmed",STM0358
ordered_protein_AbiU_1,AbiU,AbiU,Defense,NP_461652.3,NP_461652.3,NP_461652.3,1,AbiU__AbiU,STM2724
ordered_protein_PARIS_I_6,Paris,PARIS_I,Defense,NP_461673.1,NP_461674.1,NP_461673.1,2,"Paris_I__AriA_AAA15,Paris_I__AriB_DUF4435_I",STM2746
ordered_protein_PARIS_I_6,Paris,PARIS_I,Defense,NP_461673.1,NP_461674.1,NP_461674.1,2,"Paris_I__AriA_AAA15,Paris_I__AriB_DUF4435_I",STM2747
ordered_protein_PD-T4-1_8,PD-T4-1,PD-T4-1,Defense,NP_461681.1,NP_461681.1,NP_461681.1,1,PD-T4-1__PD-T4-1,STM2754
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461858.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2937
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461859.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2938
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461860.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2939
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461861.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2940
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461862.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2941
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461863.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2942
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461864.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2943
ordered_protein_CAS_Class1-Subtype-I-E_13,Cas,CAS_Class1-Subtype-I-E,Defense,NP_461858.1,NP_461865.1,NP_461865.1,8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2",STM2944
ordered_protein_Retron_II_9,Retron,Retron_II,Defense,NP_462744.1,NP_462745.3,NP_462744.1,2,"Retron_II__NDT,Retron__RT_Tot_4",STM3845
ordered_protein_Retron_II_9,Retron,Retron_II,Defense,NP_462744.1,NP_462745.3,NP_462745.3,2,"Retron_II__NDT,Retron__RT_Tot_4",STM3846
ordered_protein_Mokosh_TypeII_5,Mokosh,Mokosh_TypeII,Defense,NP_463348.1,NP_463348.1,NP_463348.1,1,Mokosh_TypeII__MkoC,STM4489
ordered_protein_BREX_I_3,BREX,BREX_I,Defense,NP_463350.1,NP_463357.1,NP_463350.1,6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA",STM4491
ordered_protein_BREX_I_3,BREX,BREX_I,Defense,NP_463350.1,NP_463357.1,NP_463351.1,6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA",STM4492
ordered_protein_BREX_I_3,BREX,BREX_I,Defense,NP_463350.1,NP_463357.1,NP_463354.1,6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA",STM4495
ordered_protein_BREX_I_3,BREX,BREX_I,Defense,NP_463350.1,NP_463357.1,NP_463355.1,6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA",STM4496
ordered_protein_BREX_I_3,BREX,BREX_I,Defense,NP_463350.1,NP_463357.1,NP_463356.1,6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA",STM4497
ordered_protein_BREX_I_3,BREX,BREX_I,Defense,NP_463350.1,NP_463357.1,NP_463357.1,6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA",STM4498
ordered_protein_PARIS_II_7,Paris,PARIS_II,Defense,NP_463352.1,NP_463353.1,NP_463352.1,2,"Paris_II__AriA_AAA21,Paris_II__AriB_DUF4435_II",STM4493
ordered_protein_PARIS_II_7,Paris,PARIS_II,Defense,NP_463352.1,NP_463353.1,NP_463353.1,2,"Paris_II__AriA_AAA21,Paris_II__AriB_DUF4435_II",STM4494
ordered_protein_DS-17_4,DS-17,DS-17,Defense,NP_463362.1,NP_463362.1,NP_463362.1,1,DS-17__DS-17,STM4503
ordered_protein_RM_Type_I_11,RM,RM_Type_I,Defense,NP_463383.1,NP_463385.1,NP_463383.1,3,"RM__Type_I_MTases_FAM_2,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52",STM4524
ordered_protein_RM_Type_I_11,RM,RM_Type_I,Defense,NP_463383.1,NP_463385.1,NP_463384.1,3,"RM__Type_I_MTases_FAM_2,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52",STM4525
ordered_protein_RM_Type_I_11,RM,RM_Type_I,Defense,NP_463383.1,NP_463385.1,NP_463385.1,3,"RM__Type_I_MTases_FAM_2,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52",STM4526
